filename,blur_score,is_blurry,brightness_mean,is_underexposed,is_overexposed,dark_clip_fraction,bright_clip_fraction,noise_sigma,is_noisy,contrast,saturation_mean,is_likely_corrupt,blockiness_score,flat_block_fraction
aguanambi-1120_png_jpg.rf.85a5d581484d3dd2e72361e5e0952321_underexposure_sev3.jpg,68.845,True,24.493,True,False,0.0083,0.0,1.483,False,0.5833,15.292,False,0.911,0.2196
aguanambi-1120_png_jpg.rf.bac4ac8e15dd4c9b16d1d08981ae6e1a - Copy - Copy - Copy_underexposure_sev1.jpg,784.66,False,100.938,False,False,0.001,0.0,4.448,False,0.5612,34.181,False,0.852,0.0151
aguanambi-1120_png_jpg.rf.bac4ac8e15dd4c9b16d1d08981ae6e1a - Copy - Copy_noise_sev2.jpg,7258.302,False,167.543,False,False,0.0005,0.0382,17.791,True,0.6154,39.88,False,0.937,0.0
aguanambi-1120_png_jpg.rf.bac4ac8e15dd4c9b16d1d08981ae6e1a - Copy_clean.jpg,2147.11,False,168.897,False,False,0.0008,0.0443,5.93,False,0.5535,33.659,False,0.85,0.0026
aguanambi-1120_png_jpg.rf.bac4ac8e15dd4c9b16d1d08981ae6e1a_overexposure_sev3.jpg,1477.007,False,253.082,False,True,0.0005,0.9523,0.0,False,0.0805,2.838,True,0.957,0.5148
aguanambi-1120_png_jpg.rf.db238df5bc7656a2bd55298bb27d7979 - Copy - Copy - Copy_corruption_sev1.jpg,1151.227,False,116.19,False,False,0.0026,0.0043,5.93,False,0.8449,36.89,True,1.228,0.0013
aguanambi-1120_png_jpg.rf.db238df5bc7656a2bd55298bb27d7979 - Copy - Copy_overexposure_sev1.jpg,2027.124,False,169.549,False,True,0.0006,0.178,7.413,False,0.7895,35.251,False,0.824,0.0388
aguanambi-1120_png_jpg.rf.db238df5bc7656a2bd55298bb27d7979 - Copy_clean.jpg,1030.843,False,116.194,False,False,0.0013,0.0044,5.93,False,0.8367,37.64,False,0.832,0.002
aguanambi-1120_png_jpg.rf.db238df5bc7656a2bd55298bb27d7979_underexposure_sev1.jpg,374.039,False,69.306,False,False,0.0054,0.0,2.965,False,0.8367,38.194,False,0.831,0.023
aguanambi-1120_png_jpg.rf.dbd2a5e07780511ff9704003de767b41 - Copy - Copy - Copy_overexposure_sev2.jpg,2470.835,False,208.405,False,True,0.0003,0.5201,4.448,False,0.7057,25.358,False,0.902,0.2347
aguanambi-1120_png_jpg.rf.dbd2a5e07780511ff9704003de767b41 - Copy - Copy_overexposure_sev1.jpg,2027.574,False,169.551,False,True,0.0006,0.1779,7.413,False,0.7895,35.242,False,0.926,0.0394
